timestamp,cpu,ram,disco,qtd_processos,mac
2025-10-24_00-05-14,14.0,86.7,55.1,283,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-04-33,12.8,85.9,55.1,276,276246685787227
2025-10-24_00-04-53,10.7,86.2,55.1,281,276246685787227
2025-10-24_00-05-14,14.0,86.7,55.1,283,276246685787227
2025-10-24_00-05-33,5.6,86.6,55.1,279,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-04-33,12.8,85.9,55.1,276,276246685787227
2025-10-24_00-04-53,10.7,86.2,55.1,281,276246685787227
2025-10-24_00-05-14,14.0,86.7,55.1,283,276246685787227
2025-10-24_00-05-33,5.6,86.6,55.1,279,276246685787227
2025-10-24_00-05-51,6.8,86.6,55.1,279,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-04-33,12.8,85.9,55.1,276,276246685787227
2025-10-24_00-04-53,10.7,86.2,55.1,281,276246685787227
2025-10-24_00-05-14,14.0,86.7,55.1,283,276246685787227
2025-10-24_00-05-33,5.6,86.6,55.1,279,276246685787227
2025-10-24_00-05-51,6.8,86.6,55.1,279,276246685787227
2025-10-24_00-06-11,7.1,86.3,55.1,278,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-04-33,12.8,85.9,55.1,276,276246685787227
2025-10-24_00-04-53,10.7,86.2,55.1,281,276246685787227
2025-10-24_00-05-14,14.0,86.7,55.1,283,276246685787227
2025-10-24_00-05-33,5.6,86.6,55.1,279,276246685787227
2025-10-24_00-05-51,6.8,86.6,55.1,279,276246685787227
2025-10-24_00-06-11,7.1,86.3,55.1,278,276246685787227
2025-10-24_00-06-29,8.1,86.2,55.1,276,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-04-33,12.8,85.9,55.1,276,276246685787227
2025-10-24_00-04-53,10.7,86.2,55.1,281,276246685787227
2025-10-24_00-05-14,14.0,86.7,55.1,283,276246685787227
2025-10-24_00-05-33,5.6,86.6,55.1,279,276246685787227
2025-10-24_00-05-51,6.8,86.6,55.1,279,276246685787227
2025-10-24_00-06-11,7.1,86.3,55.1,278,276246685787227
2025-10-24_00-06-29,8.1,86.2,55.1,276,276246685787227
2025-10-24_00-06-48,11.3,86.3,55.1,280,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-04-33,12.8,85.9,55.1,276,276246685787227
2025-10-24_00-04-53,10.7,86.2,55.1,281,276246685787227
2025-10-24_00-05-14,14.0,86.7,55.1,283,276246685787227
2025-10-24_00-05-33,5.6,86.6,55.1,279,276246685787227
2025-10-24_00-05-51,6.8,86.6,55.1,279,276246685787227
2025-10-24_00-06-11,7.1,86.3,55.1,278,276246685787227
2025-10-24_00-06-29,8.1,86.2,55.1,276,276246685787227
2025-10-24_00-06-48,11.3,86.3,55.1,280,276246685787227
2025-10-24_00-07-04,7.6,85.8,55.1,278,276246685787227
2025-10-24_00-02-28,4.9,85.7,55.1,269,276246685787227
2025-10-24_00-02-44,8.1,86.0,55.1,270,276246685787227
2025-10-24_00-03-02,6.4,85.9,55.1,270,276246685787227
2025-10-24_00-03-20,9.3,85.5,55.1,270,276246685787227
2025-10-24_00-03-40,13.1,85.7,55.1,276,276246685787227
2025-10-24_00-03-57,12.2,85.5,55.1,280,276246685787227
2025-10-24_00-04-13,8.0,85.1,55.1,278,276246685787227
2025-10-24_00-04-33,12.8,85.9,55.1,276,276246685787227
2025-10-24_00-04-53,10.7,86.2,55.1,281,276246685787227
2025-10-24_00-05-14,14.0,86.7,55.1,283,276246685787227
2025-10-24_00-05-33,5.6,86.6,55.1,279,276246685787227
2025-10-24_00-05-51,6.8,86.6,55.1,279,276246685787227
2025-10-24_00-06-11,7.1,86.3,55.1,278,276246685787227
2025-10-24_00-06-29,8.1,86.2,55.1,276,276246685787227
2025-10-24_00-06-48,11.3,86.3,55.1,280,276246685787227
2025-10-24_00-07-04,7.6,85.8,55.1,278,276246685787227
2025-10-24_00-07-21,7.3,85.7,55.1,278,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-08-26,7.4,83.9,55.1,277,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-08-26,7.4,83.9,55.1,277,276246685787227
2025-10-24_00-08-43,8.4,84.3,55.1,277,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-08-26,7.4,83.9,55.1,277,276246685787227
2025-10-24_00-08-43,8.4,84.3,55.1,277,276246685787227
2025-10-24_00-08-59,5.3,84.3,55.1,277,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-08-26,7.4,83.9,55.1,277,276246685787227
2025-10-24_00-08-43,8.4,84.3,55.1,277,276246685787227
2025-10-24_00-08-59,5.3,84.3,55.1,277,276246685787227
2025-10-24_00-09-15,6.6,84.5,55.1,277,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-08-26,7.4,83.9,55.1,277,276246685787227
2025-10-24_00-08-43,8.4,84.3,55.1,277,276246685787227
2025-10-24_00-08-59,5.3,84.3,55.1,277,276246685787227
2025-10-24_00-09-15,6.6,84.5,55.1,277,276246685787227
2025-10-24_00-09-31,10.7,86.3,55.1,277,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-08-26,7.4,83.9,55.1,277,276246685787227
2025-10-24_00-08-43,8.4,84.3,55.1,277,276246685787227
2025-10-24_00-08-59,5.3,84.3,55.1,277,276246685787227
2025-10-24_00-09-15,6.6,84.5,55.1,277,276246685787227
2025-10-24_00-09-31,10.7,86.3,55.1,277,276246685787227
2025-10-24_00-09-47,11.2,86.1,55.1,277,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-08-26,7.4,83.9,55.1,277,276246685787227
2025-10-24_00-08-43,8.4,84.3,55.1,277,276246685787227
2025-10-24_00-08-59,5.3,84.3,55.1,277,276246685787227
2025-10-24_00-09-15,6.6,84.5,55.1,277,276246685787227
2025-10-24_00-09-31,10.7,86.3,55.1,277,276246685787227
2025-10-24_00-09-47,11.2,86.1,55.1,277,276246685787227
2025-10-24_00-10-04,8.8,85.4,55.1,276,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-08-26,7.4,83.9,55.1,277,276246685787227
2025-10-24_00-08-43,8.4,84.3,55.1,277,276246685787227
2025-10-24_00-08-59,5.3,84.3,55.1,277,276246685787227
